lang_key,n_pairs,baseline_delta,top_collective_k5_delta_change,ctrl_collective_k5_delta_change,top_minus_ctrl_collective,signedPOS_delta_change,signedNEG_delta_change,zero_minus_mean_topk5,spearman_rank_vs_effect,spearman_p_value,top_head_mean_dc,top_head_std_dc,ctrl_head_mean_dc,ctrl_head_std_dc,top_vs_ctrl_t_stat,top_vs_ctrl_p_value,mode
ara,400,7.445322036743164,-0.13599586486816406,-0.06396484375,-0.07203102111816406,0.11052751541137695,-0.467470645904541,-0.03313493728637695,-0.06766917293233082,0.7768207117441497,-0.016444587707519533,0.039241385351680806,-0.0011359453201293945,0.015425629723044332,-1.6236999665531093,0.11711707174301036,full
eng,400,5.231666088104248,0.060776710510253906,-0.019485950469970703,0.08026266098022461,0.07973814010620117,-0.15848493576049805,-0.021491050720214844,-0.32481203007518794,0.16232315576999945,-0.0030184507369995115,0.03190976746351239,-0.004416131973266601,0.01367537709644863,0.18004650981916162,0.8585253925991883,full
deu,400,10.177847862243652,-0.001651763916015625,-0.009463310241699219,0.007811546325683594,0.049300193786621094,-1.0214662551879883,0.03668403625488281,-0.048120300751879695,0.8403389659546905,-0.052130270004272464,0.2318223275374541,-0.0072079658508300785,0.015985438326522206,-0.8645531552806416,0.3979678850204038,full
fra,400,9.157120704650879,-0.005673408508300781,-0.006981849670410156,0.001308441162109375,0.08954811096191406,-0.27880001068115234,-0.006552696228027344,-0.34285714285714286,0.13891001088101337,-0.007264614105224609,0.04365198267653192,0.0020238399505615235,0.041174355285405466,-0.692241354649505,0.49300866354994466,full
heb,200,11.483163833618164,0.06673812866210938,0.06109428405761719,0.0056438446044921875,0.15627002716064453,-0.27453136444091797,-0.11937427520751953,-0.20601503759398496,0.3835325530925867,2.86102294921875e-05,0.06881610434022853,0.009313583374023438,0.024196128221625014,-0.5692389104963864,0.5745663170504116,full
spa,400,9.611120223999023,0.014519691467285156,-0.009938240051269531,0.024457931518554688,0.10400962829589844,-0.11986637115478516,0.014435768127441406,-0.11278195488721804,0.6359170579042353,0.0015858650207519532,0.03005106285725649,-0.004226255416870117,0.013830635850993332,0.7857256174587209,0.4389449169400206,full
tur,400,9.56035041809082,0.04825019836425781,0.023698806762695312,0.0245513916015625,0.18526172637939453,-0.653076171875,-0.034119606018066406,-0.20150375939849624,0.3942605047612736,-0.021738338470458984,0.14072381372445467,8.950233459472656e-05,0.03193516746408943,-0.6764779408118217,0.5061373490449284,full
